ID,NAME,DESCRIPTION,ISALLDAY,ACTIVITYDATE,STARTTIMEINMINUTES,ENDTIMEINMINUTES,CREATEDDATE,CREATEDBYID,LASTMODIFIEDDATE,LASTMODIFIEDBYID,SYSTEMMODSTAMP,ISRECURRENCE,RECURRENCESTARTDATE,RECURRENCEENDDATEONLY,RECURRENCETYPE,RECURRENCEINTERVAL,RECURRENCEDAYOFWEEKMASK,RECURRENCEDAYOFMONTH,RECURRENCEINSTANCE,RECURRENCEMONTHOFYEAR
0C03000000162eECAQ,New Year's Day,New Year's Day,TRUE,1/1/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,1/1/12,,RecursYearly,,,1,,January
0C03000000162eFCAQ,"Martin Luther King, Jr Day","Martin Luther King, Jr Day",TRUE,1/16/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,1/16/12,,RecursYearlyNth,,2,,Third,January
0C03000000162eGCAQ,Washington's Birthday,Washington's Birthday,TRUE,2/20/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,2/20/12,,RecursYearlyNth,,2,,Third,February
0C03000000162eHCAQ,Independence Day,Independence Day,TRUE,7/4/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,7/4/12,,RecursYearly,,,4,,July
0C03000000162eICAQ,Veteran's Day,Veteran's Day,TRUE,9/27/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,11/11/12,,RecursYearly,,,11,,November
0C03000000162eJCAQ,Christmas Day,Christmas Day,TRUE,9/27/12,,,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,00530000001oGgxAAE,2012-10-16T13:13:42.000Z,TRUE,12/25/11,,RecursYearly,,,25,,December
0C03000000162eKCAQ,Memorial Day,Memorial Day,TRUE,9/28/12,,,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,TRUE,5/28/12,,RecursYearlyNth,,2,,Last,May
0C03000000162eLCAQ,Thanksgiving Day,Thanksgiving Day,TRUE,9/28/12,,,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,TRUE,11/22/12,,RecursYearlyNth,,16,,Fourth,November
0C03000000162eMCAQ,Columbus Day,Columbus Day,TRUE,10/8/12,,,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,00530000001oGgxAAE,2012-10-16T13:13:43.000Z,TRUE,10/8/12,,RecursYearlyNth,,2,,Second,October
0C0300000017JQoCAM,Labor Day,Labor Day,TRUE,9/2/13,,,2013-09-06T17:37:52.000Z,00530000001oGgxAAE,2013-09-06T17:40:06.000Z,00530000001oGgxAAE,2013-09-06T17:40:06.000Z,TRUE,9/3/12,,RecursYearlyNth,,2,,First,September
